,지역코드,법정동,년,월,일,아파트,건축년도,층,전용면적,거래금액
0,11110, 청운동,2014,1,21~31,청운현대,2000,5,84.51,"    64,000"
1,11110, 사직동,2014,1,11~20,광화문풍림스페이스본(101동~105동),2008,5,126.34,"    93,000"
2,11110, 사직동,2014,1,11~20,광화문풍림스페이스본(106동),2008,10,153.42,"   135,000"
3,11110, 사직동,2014,1,21~31,광화문풍림스페이스본(101동~105동),2008,2,151.81,"    90,000"
4,11110, 사직동,2014,1,21~31,광화문풍림스페이스본(101동~105동),2008,8,94.51,"    73,000"
5,11110, 내수동,2014,1,11~20,경희궁의아침2단지,2004,10,140.78,"   107,000"
6,11110, 내수동,2014,1,21~31,경희궁의아침3단지,2004,7,150.48,"   114,000"
7,11110, 익선동,2014,1,1~10,현대뜨레비앙,2003,3,48.54,"    24,900"
8,11110, 익선동,2014,1,11~20,현대뜨레비앙,2003,6,45.5,"    18,000"
9,11110, 익선동,2014,1,21~31,현대뜨레비앙,2003,3,45.5,"    19,500"
0,11110, 신교동,2014,2,11~20,신현(101동),2002,3,84.82,"    50,500"
1,11110, 사직동,2014,2,11~20,광화문풍림스페이스본(101동~105동),2008,1,94.51,"    72,000"
2,11110, 사직동,2014,2,11~20,광화문풍림스페이스본(101동~105동),2008,8,146.92,"   110,000"
3,11110, 사직동,2014,2,21~28,광화문풍림스페이스본(106동),2008,1,163.33,"   110,000"
4,11110, 내수동,2014,2,11~20,경희궁의아침4단지,2004,16,150.77,"   101,500"
5,11110, 신문로1가,2014,2,21~28,신문로맨션,1981,8,98.31,"    49,500"
6,11110, 수송동,2014,2,1~10,로얄팰리스스위트,2005,15,29.31,"    25,500"
7,11110, 익선동,2014,2,11~20,현대뜨레비앙,2003,2,46.64,"    23,500"
8,11110, 익선동,2014,2,21~28,현대뜨레비앙,2003,2,46.64,"    24,000"
9,11110, 인의동,2014,2,11~20,효성쥬얼리시티,2006,7,84.98,"    40,000"
0,11110, 사직동,2014,3,11~20,광화문풍림스페이스본(101동~105동),2008,5,94.28,"    71,000"
1,11110, 사직동,2014,3,11~20,광화문풍림스페이스본(101동~105동),2008,4,131.44,"    88,000"
2,11110, 사직동,2014,3,11~20,광화문풍림스페이스본(101동~105동),2008,3,94.28,"    72,000"
3,11110, 당주동,2014,3,1~10,롯데미도파광화문빌딩,1981,7,93.36,"    41,500"
4,11110, 당주동,2014,3,11~20,세종,1983,10,156.74,"    72,000"
5,11110, 당주동,2014,3,11~20,롯데미도파광화문빌딩,1981,10,65.79,"    30,000"
6,11110, 내수동,2014,3,21~31,경희궁의아침4단지,2004,11,150.77,"   109,000"
7,11110, 익선동,2014,3,11~20,현대뜨레비앙,2003,4,46.64,"    22,500"
8,11110, 익선동,2014,3,11~20,운현신화타워,1998,7,57.18,"    26,000"
9,11110, 인의동,2014,3,1~10,효성쥬얼리시티,2006,16,98.39,"    53,000"
0,11110, 사직동,2014,4,1~10,광화문풍림스페이스본(101동~105동),2008,3,94.51,"    73,000"
1,11110, 사직동,2014,4,11~20,광화문풍림스페이스본(101동~105동),2008,3,94.51,"    70,800"
2,11110, 사직동,2014,4,21~30,광화문풍림스페이스본(101동~105동),2008,7,94.51,"    69,500"
3,11110, 사직동,2014,4,21~30,광화문풍림스페이스본(106동),2008,1,153.42,"    99,000"
4,11110, 당주동,2014,4,11~20,롯데미도파광화문빌딩,1981,7,65.82,"    29,800"
5,11110, 수송동,2014,4,1~10,로얄팰리스스위트,2005,17,29.31,"    27,000"
6,11110, 익선동,2014,4,21~30,현대뜨레비앙,2003,2,46.64,"    24,500"
7,11110, 익선동,2014,4,21~30,현대뜨레비앙,2003,7,45.5,"    20,000"
8,11110, 연건동,2014,4,11~20,이화에수풀,2014,9,16.98,"    16,200"
9,11110, 명륜2가,2014,4,1~10,아남1,1995,13,84.9,"    59,500"
0,11110, 청운동,2014,5,1~10,청운현대,2000,3,84.51,"    62,500"
1,11110, 사직동,2014,5,11~20,광화문풍림스페이스본(106동),2008,8,144.52,"    96,000"
2,11110, 사직동,2014,5,21~31,광화문풍림스페이스본(101동~105동),2008,4,136.4,"   102,000"
3,11110, 내수동,2014,5,21~31,경희궁의아침4단지,2004,7,124.17,"   104,000"
4,11110, 익선동,2014,5,21~31,현대뜨레비앙,2003,6,43.98,"    20,000"
5,11110, 익선동,2014,5,21~31,현대뜨레비앙,2003,6,43.98,"    22,000"
6,11110, 이화동,2014,5,11~20,(9-1),2004,4,84.13,"    32,200"
7,11110, 연건동,2014,5,21~31,이화에수풀,2014,12,19.86,"    18,500"
8,11110, 명륜1가,2014,5,11~20,건양하늘터,2006,1,84.89,"    44,200"
9,11110, 명륜2가,2014,5,11~20,아남1,1995,18,84.9,"    56,000"
0,11110, 필운동,2014,6,1~10,두레엘리시안,2007,7,78.42,"    60,000"
1,11110, 사직동,2014,6,1~10,광화문풍림스페이스본(101동~105동),2008,2,95.88,"    72,000"
2,11110, 사직동,2014,6,1~10,광화문풍림스페이스본(101동~105동),2008,4,95.88,"    69,000"
3,11110, 사직동,2014,6,11~20,광화문풍림스페이스본(101동~105동),2008,7,126.34,"    96,000"
4,11110, 수송동,2014,6,1~10,로얄팰리스스위트,2005,11,39.67,"    34,000"
5,11110, 익선동,2014,6,1~10,운현신화타워,1998,6,57.18,"    28,500"
6,11110, 연건동,2014,6,1~10,(60-1),1999,1,59.63,"    25,500"
7,11110, 명륜1가,2014,6,21~30,송림아마레스아파트,2003,4,84.62,"    44,000"
8,11110, 명륜2가,2014,6,11~20,아남1,1995,17,84.9,"    56,800"
9,11110, 명륜2가,2014,6,11~20,아남1,1995,14,84.9,"    59,500"
0,11110, 사직동,2014,7,11~20,광화문풍림스페이스본(101동~105동),2008,9,159.01,"   105,000"
1,11110, 사직동,2014,7,21~31,광화문풍림스페이스본(101동~105동),2008,1,94.51,"    73,000"
2,11110, 내수동,2014,7,21~31,경희궁의아침3단지,2004,13,149,"   119,000"
3,11110, 내수동,2014,7,21~31,경희궁의아침4단지,2004,12,145.96,"   119,300"
4,11110, 수송동,2014,7,1~10,로얄팰리스스위트,2005,14,29.31,"    27,700"
5,11110, 인의동,2014,7,21~31,효성쥬얼리시티,2006,17,98.39,"    62,000"
6,11110, 명륜2가,2014,7,1~10,아남3,1999,7,59.36,"    37,800"
7,11110, 창신동,2014,7,1~10,창신쌍용2,1993,8,54.7,"    22,500"
8,11110, 창신동,2014,7,1~10,창신쌍용2,1993,6,115.53,"    40,500"
9,11110, 창신동,2014,7,11~20,창신쌍용2,1993,6,79.87,"    31,650"
0,11110, 사직동,2014,8,11~20,광화문풍림스페이스본(101동~105동),2008,3,70.8,"    61,500"
1,11110, 사직동,2014,8,11~20,광화문풍림스페이스본(101동~105동),2008,2,70.8,"    62,000"
2,11110, 사직동,2014,8,11~20,광화문풍림스페이스본(101동~105동),2008,7,94.51,"    74,500"
3,11110, 사직동,2014,8,11~20,광화문풍림스페이스본(101동~105동),2008,10,146.92,"   112,000"
4,11110, 사직동,2014,8,11~20,광화문풍림스페이스본(101동~105동),2008,13,151.81,"   107,000"
5,11110, 사직동,2014,8,21~31,광화문풍림스페이스본(101동~105동),2008,2,94.51,"    72,300"
6,11110, 사직동,2014,8,21~31,광화문풍림스페이스본(101동~105동),2008,9,136.4,"   114,400"
7,11110, 당주동,2014,8,1~10,롯데미도파광화문빌딩,1981,10,149.96,"    59,000"
8,11110, 당주동,2014,8,11~20,롯데미도파광화문빌딩,1981,8,93.36,"    44,000"
9,11110, 내수동,2014,8,11~20,경희궁의아침4단지,2004,9,124.17,"   107,900"
0,11110, 필운동,2014,9,21~30,두레엘리시안,2007,3,84.74,"    58,500"
1,11110, 사직동,2014,9,21~30,광화문풍림스페이스본(101동~105동),2008,11,131.44,"   105,000"
2,11110, 사직동,2014,9,21~30,광화문풍림스페이스본(101동~105동),2008,14,131.44,"    93,000"
3,11110, 내수동,2014,9,11~20,경희궁의아침4단지,2004,12,124.17,"   109,000"
