지역코드,법정동,년,월,일,아파트,건축년도,층,전용면적,거래금액
11110, 누상동,2018,1,11~20,청호그린빌,1999,4,29.76,"    17,900"
11110, 누상동,2018,1,11~20,청호그린빌,1999,3,29.76,"    17,900"
11110, 사직동,2018,1,1~10,광화문풍림스페이스본(101동~105동),2008,9,146.92,"   110,000"
11110, 사직동,2018,1,21~31,광화문풍림스페이스본(101동~105동),2008,6,94.51,"    89,000"
11110, 사직동,2018,1,21~31,광화문풍림스페이스본(101동~105동),2008,2,95.88,"    85,000"
11110, 사직동,2018,1,21~31,광화문풍림스페이스본(101동~105동),2008,1,108.55,"   100,000"
11110, 사직동,2018,1,21~31,광화문풍림스페이스본(101동~105동),2008,3,94.51,"    85,000"
11110, 사직동,2018,1,21~31,광화문풍림스페이스본(101동~105동),2008,13,94.51,"    91,000"
11110, 사직동,2018,1,21~31,광화문풍림스페이스본(101동~105동),2008,6,147.31,"   132,000"
11110, 사직동,2018,1,21~31,광화문풍림스페이스본(101동~105동),2008,5,94.51,"    85,000"
11110, 청운동,2018,2,1~10,청운현대,2000,1,129.76,"    94,000"
11110, 사직동,2018,2,1~10,광화문풍림스페이스본(101동~105동),2008,4,97.61,"    88,000"
11110, 사직동,2018,2,11~20,광화문풍림스페이스본(106동),2008,10,153.42,"   125,000"
11110, 사직동,2018,2,11~20,광화문풍림스페이스본(106동),2008,6,153.42,"   122,500"
11110, 사직동,2018,2,11~20,광화문풍림스페이스본(101동~105동),2008,11,158.99,"   119,500"
11110, 사직동,2018,2,21~28,광화문풍림스페이스본(106동),2008,7,150.4,"   121,000"
11110, 사직동,2018,2,21~28,광화문풍림스페이스본(101동~105동),2008,10,159.01,"   130,000"
11110, 사직동,2018,2,21~28,광화문풍림스페이스본(101동~105동),2008,9,160.85,"   126,000"
11110, 내수동,2018,2,1~10,경희궁 파크팰리스,2003,16,146.39,"   138,000"
11110, 내수동,2018,2,11~20,경희궁의아침4단지,2004,4,150.77,"   120,500"
11110, 누상동,2018,3,21~31,청호그린빌,1999,2,29.76,"    17,900"
11110, 누상동,2018,3,21~31,청호그린빌,1999,4,29.76,"    17,800"
11110, 옥인동,2018,3,11~20,세종아파트,2005,5,111.31,"    79,000"
11110, 사직동,2018,3,1~10,광화문풍림스페이스본(101동~105동),2008,1,136.4,"   113,000"
11110, 사직동,2018,3,1~10,광화문풍림스페이스본(106동),2008,4,150.4,"   118,000"
11110, 사직동,2018,3,1~10,광화문풍림스페이스본(106동),2008,4,144.52,"   118,500"
11110, 사직동,2018,3,1~10,광화문풍림스페이스본(106동),2008,9,144.52,"   114,000"
11110, 사직동,2018,3,1~10,광화문풍림스페이스본(101동~105동),2008,5,158.99,"   128,000"
11110, 사직동,2018,3,11~20,광화문풍림스페이스본(101동~105동),2008,8,121.37,"    97,500"
11110, 당주동,2018,3,1~10,세종,1983,9,91.46,"    62,000"
11110, 청운동,2018,4,1~10,청운현대,2000,5,84.51,"    83,000"
11110, 사직동,2018,4,1~10,광화문풍림스페이스본(101동~105동),2008,4,108.55,"   113,000"
11110, 사직동,2018,4,11~20,광화문풍림스페이스본(106동),2008,3,153.42,"   120,000"
11110, 내수동,2018,4,11~20,경희궁의아침2단지,2004,8,140.78,"   125,000"
11110, 내수동,2018,4,11~20,킹스매너,2004,2,218.86,"   135,000"
11110, 내수동,2018,4,21~30,경희궁 파크팰리스,2003,16,146.39,"   130,000"
11110, 익선동,2018,4,11~20,현대뜨레비앙,2003,3,48.54,"    29,995"
11110, 인의동,2018,4,11~20,효성쥬얼리시티,2006,12,92.81,"    62,000"
11110, 인의동,2018,4,21~30,효성쥬얼리시티,2006,10,92.81,"    59,000"
11110, 혜화동,2018,4,1~10,혜화훼미리,2004,2,111.86,"    68,000"
11110, 필운동,2018,5,11~20,두레엘리시안,2007,6,84.74,"    66,500"
11110, 사직동,2018,5,1~10,광화문풍림스페이스본(101동~105동),2008,6,131.44,"   118,000"
11110, 사직동,2018,5,1~10,광화문풍림스페이스본(101동~105동),2008,7,151.81,"   120,500"
11110, 사직동,2018,5,11~20,광화문풍림스페이스본(101동~105동),2008,12,94.51,"    94,500"
11110, 당주동,2018,5,11~20,세종,1983,4,104.73,"    66,900"
11110, 견지동,2018,5,21~31,대성스카이렉스,2008,11,149.8,"    99,000"
11110, 익선동,2018,5,1~10,운현신화타워,1998,7,57.18,"    32,700"
11110, 익선동,2018,5,1~10,현대뜨레비앙,2003,3,58.78,"    44,000"
11110, 인의동,2018,5,11~20,효성쥬얼리시티,2006,19,141.04,"   104,000"
11110, 인의동,2018,5,21~31,효성쥬얼리시티,2006,17,84.98,"    57,000"
11110, 사직동,2018,6,1~10,광화문풍림스페이스본(106동),2008,7,150.4,"   119,000"
11110, 내수동,2018,6,1~10,경희궁의아침4단지,2004,15,145.96,"   145,500"
11110, 내수동,2018,6,11~20,경희궁 파크팰리스,2003,7,117.26,"   105,500"
11110, 견지동,2018,6,1~10,대성스카이렉스,2008,8,149.8,"    94,300"
11110, 익선동,2018,6,21~30,현대뜨레비앙,2003,2,46.64,"    29,500"
11110, 인의동,2018,6,1~10,효성쥬얼리시티,2006,14,98.39,"    75,000"
11110, 인의동,2018,6,1~10,효성쥬얼리시티,2006,7,98.39,"    68,000"
11110, 인의동,2018,6,1~10,효성쥬얼리시티,2006,9,84.7,"    57,000"
11110, 인의동,2018,6,1~10,효성쥬얼리시티,2006,13,106.81,"    74,000"
11110, 인의동,2018,6,1~10,효성쥬얼리시티,2006,14,84.7,"    60,000"
11110, 사직동,2018,7,11~20,광화문풍림스페이스본(101동~105동),2008,14,126.34,"   119,000"
11110, 사직동,2018,7,21~31,광화문풍림스페이스본(101동~105동),2008,3,151.81,"   118,000"
11110, 내수동,2018,7,1~10,세종로대우,1994,15,66.96,"    55,000"
11110, 내수동,2018,7,11~20,경희궁 파크팰리스,2003,9,117.26,"   107,500"
11110, 내수동,2018,7,21~31,경희궁 파크팰리스,2003,8,103.77,"    98,000"
11110, 인의동,2018,7,1~10,효성쥬얼리시티,2006,15,92.81,"    66,000"
11110, 효제동,2018,7,21~31,포레스트힐시티,2017,7,14.1832,"    18,400"
11110, 명륜2가,2018,7,21~31,아남1,1995,6,84.9,"    71,500"
11110, 명륜2가,2018,7,21~31,아남1,1995,15,84.9,"    76,000"
11110, 창신동,2018,7,1~10,창신쌍용1,1992,11,54.7,"    41,500"
11110, 사직동,2018,8,1~10,광화문풍림스페이스본(101동~105동),2008,10,94.51,"   103,000"
11110, 사직동,2018,8,1~10,광화문풍림스페이스본(101동~105동),2008,14,159.01,"   133,000"
11110, 사직동,2018,8,11~20,광화문풍림스페이스본(101동~105동),2008,11,121.37,"   104,000"
11110, 사직동,2018,8,11~20,광화문풍림스페이스본(101동~105동),2008,8,131.44,"   119,000"
11110, 사직동,2018,8,21~31,광화문풍림스페이스본(101동~105동),2008,8,158.99,"   133,000"
11110, 사직동,2018,8,21~31,광화문풍림스페이스본(101동~105동),2008,13,146.92,"   129,000"
11110, 사직동,2018,8,21~31,광화문풍림스페이스본(106동),2008,6,150.4,"   130,000"
11110, 사직동,2018,8,21~31,광화문풍림스페이스본(101동~105동),2008,5,151.81,"   110,000"
11110, 사직동,2018,8,21~31,광화문풍림스페이스본(106동),2008,10,153.42,"   170,000"
11110, 당주동,2018,8,11~20,롯데미도파광화문빌딩,1981,8,65.79,"    39,500"
11110, 사직동,2018,9,1~10,광화문풍림스페이스본(101동~105동),2008,4,108.07,"   107,000"
11110, 사직동,2018,9,1~10,광화문풍림스페이스본(101동~105동),2008,3,126.34,"   115,000"
11110, 사직동,2018,9,1~10,광화문풍림스페이스본(101동~105동),2008,3,159.01,"   130,000"
11110, 사직동,2018,9,1~10,광화문풍림스페이스본(101동~105동),2008,5,94.51,"   104,500"
11110, 사직동,2018,9,1~10,광화문풍림스페이스본(101동~105동),2008,11,131.44,"   119,900"
11110, 사직동,2018,9,1~10,광화문풍림스페이스본(101동~105동),2008,5,159.01,"   131,000"
11110, 당주동,2018,9,11~20,롯데미도파광화문빌딩,1981,8,149.92,"    72,000"
11110, 내수동,2018,9,1~10,경희궁 파크팰리스,2003,9,147.62,"   147,500"
11110, 내수동,2018,9,1~10,경희궁의아침3단지,2004,3,150.48,"   140,000"
11110, 내수동,2018,9,11~20,세종로대우,1994,10,109.91,"    76,000"
11110, 청운동,2018,10,21~31,청운현대,2000,4,78.78,"    81,500"
11110, 옥인동,2018,10,1~10,세종아파트,2005,4,115.92,"    79,500"
11110, 사직동,2018,10,21~31,광화문풍림스페이스본(101동~105동),2008,11,146.92,"   141,500"
11110, 당주동,2018,10,11~20,세종,1983,10,91.46,"    63,500"
11110, 견지동,2018,10,11~20,대성스카이렉스,2008,14,149.8,"    99,000"
11110, 인의동,2018,10,21~31,효성쥬얼리시티,2006,14,98.39,"    79,800"
11110, 연건동,2018,10,11~20,이화에수풀,2014,6,16.98,"    18,600"
11110, 연건동,2018,10,21~31,이화에수풀,2014,10,16.98,"    19,000"
11110, 명륜1가,2018,10,1~10,송림아마레스아파트,2003,2,84.62,"    51,000"
11110, 명륜1가,2018,10,1~10,리치캐슬아파트,2003,2,75.6,"    43,700"
11110, 사직동,2018,11,21~30,광화문풍림스페이스본(106동),2008,7,153.42,"   140,000"
11110, 당주동,2018,11,11~20,롯데미도파광화문빌딩,1981,7,65.82,"    42,000"
